group,duration,i_mean,i_max,i_cum
Total,14.5 ± 13.5,1.8 ± 0.4,2.1 ± 0.7,27 ± 28.5
CBS,13.3 ± 11.3,1.8 ± 0.5,2.1 ± 0.7,24.7 ± 24.3
GM,14.6 ± 9.4,1.8 ± 0.3,2.1 ± 0.5,26.9 ± 19.1
GSL,12.7 ± 10.9,1.6 ± 0.6,2 ± 0.8,21.6 ± 19.6
MAB,13.4 ± 15.2,1.8 ± 0.3,2.1 ± 0.6,25 ± 32.7
NFS,15.8 ± 16.8,1.7 ± 0.4,2.1 ± 0.7,28.4 ± 34.7
SS,18.1 ± 16.3,2 ± 0.3,2.4 ± 0.5,37.7 ± 35.7
Spring,13.3 ± 10.2,1.9 ± 0.4,2.4 ± 0.7,26.8 ± 23.6
Summer,13 ± 11.2,2 ± 0.3,2.4 ± 0.5,26.9 ± 25.5
Autumn,15.8 ± 13.5,1.7 ± 0.3,2 ± 0.4,28.2 ± 27.5
Winter,16.7 ± 19.1,1.3 ± 0.4,1.6 ± 0.7,26 ± 38.3
